epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
83,2972.27,0.22921,0.22632,0.79003,0.99975,1,0.995,0.98624,0.20672,0.20098,0.7956,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
84,3002.35,0.22934,0.21489,0.78745,0.99975,1,0.995,0.98705,0.20188,0.1992,0.79349,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566
85,3033.47,0.23115,0.21812,0.79265,0.99977,1,0.995,0.98608,0.20572,0.19929,0.79372,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
86,3064.1,0.23378,0.22225,0.79065,0.99976,1,0.995,0.98451,0.20162,0.19567,0.79396,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
87,3094.94,0.22453,0.21415,0.78586,0.99974,1,0.995,0.9851,0.20723,0.196,0.7956,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
88,3123.12,0.22727,0.21758,0.7941,0.99974,1,0.995,0.9852,0.20692,0.19756,0.79443,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774
89,3154.46,0.22393,0.21279,0.78951,0.99973,1,0.995,0.98727,0.19548,0.19098,0.7942,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
90,3184.13,0.21983,0.20963,0.78848,0.99975,1,0.995,0.98632,0.20056,0.19209,0.79433,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378
91,3223.62,0.20078,0.20756,0.76762,0.99974,1,0.995,0.98549,0.20704,0.20304,0.79334,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
92,3256.25,0.19592,0.19988,0.76538,0.99974,1,0.995,0.98564,0.20553,0.20205,0.79382,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982
93,3287.61,0.19057,0.19964,0.76679,0.99974,1,0.995,0.98686,0.20432,0.19723,0.79361,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
94,3316.48,0.19153,0.20242,0.76095,0.99975,1,0.995,0.98809,0.20328,0.19314,0.79341,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586
95,3347.81,0.19402,0.19759,0.7703,0.99975,1,0.995,0.98671,0.20496,0.19432,0.79378,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
96,3378.45,0.19199,0.19879,0.76722,0.99975,1,0.995,0.98618,0.20386,0.19368,0.79312,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
97,3408.32,0.18638,0.19152,0.76356,0.99975,1,0.995,0.98644,0.20329,0.18806,0.79318,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
98,3439.45,0.18937,0.19283,0.75988,0.99975,1,0.995,0.98723,0.20316,0.18919,0.79371,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05
99,3467.62,0.18859,0.19533,0.76736,0.99975,1,0.995,0.98819,0.20086,0.18903,0.79308,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
100,3496.64,0.1824,0.19194,0.76236,0.99975,1,0.995,0.98687,0.19936,0.18706,0.79306,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05
